index	0	1	2	3	4	5	6
0	 9.185	 nan	 nan	 nan	 nan	 nan	 nan
1	 8.391	 nan	 nan	 nan	 nan	 nan	 nan
2	 9.297	 nan	 nan	 nan	 nan	 nan	 nan
3	 8.778	 nan	 nan	 nan	 nan	 nan	 nan
4	 9.480	 nan	 nan	 nan	 nan	 nan	 nan
5	 9.064	 nan	 nan	 nan	 nan	 nan	 nan
6	 8.837	 nan	 nan	 nan	 nan	 nan	 nan
7	 8.784	 nan	 nan	 nan	 nan	 nan	 nan
8	 8.589	 nan	 nan	 nan	 nan	 nan	 nan
9	 9.121	 nan	 nan	 nan	 nan	 nan	 nan
10	 9.039	 nan	 nan	 nan	 nan	 nan	 nan
11	 9.148	 nan	 nan	 nan	 nan	 nan	 nan
12	 8.229	 nan	 nan	 nan	 nan	 nan	 nan
13	 9.642	 nan	 nan	 nan	 nan	 nan	 nan
14	 10.125	 nan	 nan	 nan	 nan	 nan	 nan
15	 9.167	 nan	 nan	 nan	 nan	 nan	 nan
16	 9.664	 nan	 nan	 nan	 nan	 nan	 nan
17	 9.227	 nan	 nan	 nan	 nan	 nan	 nan
18	 9.620	 nan	 nan	 nan	 nan	 nan	 nan
19	 9.164	 nan	 nan	 nan	 nan	 nan	 nan
20	 8.991	 nan	 nan	 nan	 nan	 nan	 nan
21	 9.155	 nan	 nan	 nan	 nan	 nan	 nan
22	 9.199	 nan	 nan	 nan	 nan	 nan	 nan
23	 8.791	 nan	 nan	 nan	 nan	 nan	 nan
24	 9.286	 nan	 nan	 nan	 nan	 nan	 nan
25	 10.099	 nan	 nan	 nan	 nan	 nan	 nan
26	 9.475	 nan	 nan	 nan	 nan	 nan	 nan
27	 9.409	 nan	 nan	 nan	 nan	 nan	 nan
28	 8.997	 nan	 nan	 nan	 nan	 nan	 nan
29	 9.357	 nan	 nan	 nan	 nan	 nan	 nan
30	 9.275	 nan	 nan	 nan	 nan	 nan	 nan
31	 9.993	 nan	 nan	 nan	 nan	 nan	 nan
32	 9.427	 nan	 nan	 nan	 nan	 nan	 nan
33	 9.485	 nan	 nan	 nan	 nan	 nan	 nan
34	 9.952	 nan	 nan	 nan	 nan	 nan	 nan
35	 9.495	 nan	 nan	 nan	 nan	 nan	 nan
36	 9.412	 nan	 nan	 nan	 nan	 nan	 nan
37	 9.603	 nan	 nan	 nan	 nan	 nan	 nan
